"","xmin","xmax","variable","value"
"69",43.135523860015,43.7304966029118,"Cardamom",0
"70",43.7304966029118,44.3254693458085,"Cardamom",0
"71",44.3254693458085,44.9204420887053,"Cardamom",0
"72",44.9204420887053,45.5154148316021,"Cardamom",0
"73",45.5154148316021,46.1103875744988,"Cardamom",0
"74",46.1103875744988,46.7053603173956,"Cardamom",0
"75",46.7053603173956,47.3003330602923,"Cardamom",0
"76",47.3003330602923,47.8953058031891,"Cardamom",0
"77",47.8953058031891,48.4902785460858,"Cardamom",0
"78",48.4902785460858,49.0852512889826,"Cardamom",0
"79",49.0852512889826,49.6802240318794,"Cardamom",0
"80",49.6802240318794,50.2751967747761,"Cardamom",0
"81",50.2751967747761,50.8701695176729,"Cardamom",0
"82",50.8701695176729,51.4651422605696,"Cardamom",0
"83",51.4651422605696,52.0601150034664,"Cardamom",0
"84",52.0601150034664,52.6550877463632,"Cardamom",0
"85",52.6550877463632,53.2500604892599,"Cardamom",0
"86",53.2500604892599,53.8450332321567,"Cardamom",0
"87",53.8450332321567,54.4400059750534,"Cardamom",0
"88",54.4400059750534,55.0349787179502,"Cardamom",0
"89",55.0349787179502,55.629951460847,"Cardamom",0
"90",55.629951460847,56.2249242037437,"Cardamom",0
"91",56.2249242037437,56.8198969466405,"Cardamom",0
"92",56.8198969466405,57.4148696895372,"Cardamom",0
"93",57.4148696895372,58.009842432434,"Cardamom",0
"94",58.009842432434,58.6048151753307,"Cardamom",0
"95",58.6048151753307,59.1997879182275,"Cardamom",0
"96",59.1997879182275,59.7947606611243,"Cardamom",0
"97",59.7947606611243,60.389733404021,"Cardamom",0
"98",60.389733404021,60.9847061469178,"Cardamom",0
"99",60.9847061469178,61.5796788898145,"Cardamom",0
"100",61.5796788898145,62.1746516327113,"Cardamom",0
"101",2.67737734303541,3.27235008593217,"Difference",-1
"102",3.27235008593217,3.86732282882893,"Difference",-213
"103",3.86732282882893,4.46229557172569,"Difference",-687
"104",4.46229557172569,5.05726831462245,"Difference",-1486
"105",5.05726831462245,5.65224105751921,"Difference",-1339
"106",5.65224105751921,6.24721380041597,"Difference",-625
"107",6.24721380041597,6.84218654331273,"Difference",-518
"108",6.84218654331273,7.43715928620949,"Difference",-381
"109",7.43715928620949,8.03213202910624,"Difference",-357
"110",8.03213202910624,8.627104772003,"Difference",-334
"111",8.627104772003,9.22207751489976,"Difference",-266
"112",9.22207751489976,9.81705025779652,"Difference",-227
"113",9.81705025779652,10.4120230006933,"Difference",-151
"114",10.4120230006933,11.00699574359,"Difference",-98
"115",11.00699574359,11.6019684864868,"Difference",-38
"116",11.6019684864868,12.1969412293836,"Difference",10
"117",12.1969412293836,12.7919139722803,"Difference",120
"118",12.7919139722803,13.3868867151771,"Difference",234
"119",13.3868867151771,13.9818594580738,"Difference",204
"120",13.9818594580738,14.5768322009706,"Difference",150
"121",14.5768322009706,15.1718049438674,"Difference",184
"122",15.1718049438674,15.7667776867641,"Difference",288
"123",15.7667776867641,16.3617504296609,"Difference",395
"124",16.3617504296609,16.9567231725576,"Difference",397
